stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,139.92,0,1312.61,0,0,0,0,0,0
12hpf,30.44,4.63,1340.44,0,7.8,0,7.2,2.05,8.06
14hpf,3.88,0,1752.75,2.84,0,0,0,0,2.74
16hpf,0,0,9.11,0,0,0,0,0,14.35
19hpf,2.15,0,0,0,0,0,0,0,7.19
24hpf,0,0,0,0,0,0,0,0,1.85
2dpf,8.57,0.77,19.11,13.23,0.68,4.09,0,1.24,7.49
3dpf,4.38,0,0,0,0,1.42,0,0,0
5dpf,6.55,0,0,0,0.97,3.22,0,0.82,3.63
10dpf,25.41,0,0,0,2.79,1.75,0,0,0
