stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,126.05
12hpf,0,0,0,0,0,0,0,0,6.59
14hpf,0,0,0,0,0,6.08,0,0,241.26
16hpf,4,0,1.7,2.46,0,12.61,0,0,8.24
19hpf,0,0,0,1.54,0,5.55,0,0,36.92
24hpf,1.67,0,0.94,0,2.01,34.81,0,0,8.27
2dpf,37.84,1.3,5.76,11.92,13.5,54.87,5.69,7.35,40.44
3dpf,262.79,4.53,2.52,0.55,2.58,33.64,1.87,0.72,16.93
5dpf,28.85,3.73,5.92,2.91,2.88,58.82,15.23,10.41,92.64
10dpf,231.94,10.81,3.23,1.92,0.91,23.62,2.44,4.06,39.93
