stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0.8,0,0,0.98,0.49
3dpf,0,0,0,0.29,0,0,0
5dpf,0,0,0,0.46,0.36,0,0
10dpf,2.83,1.19,0,0,0,0,0
