stage,central_nervous_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,2.5,0,0,0
3dpf,19.96,0,0.51,0
5dpf,1.99,0.32,2.2,1.17
10dpf,81.47,1.34,2.47,1.17
