stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,periderm
2dpf,2.04,0,0,0.53,0
3dpf,0,0.62,0,0,0.38
5dpf,0.53,0.33,1.13,0,0.36
10dpf,0,0,0.46,0,2.3
