stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,0,0.82,0,0,0
3dpf,0.31,0,0,0,0
5dpf,0.59,0,13.82,0.31,0
10dpf,0,0,13.48,0,0.54
