stage,central_nervous_system,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
10hpf,9.8,40.69,0,0,0
12hpf,0,32.13,0,0,0
14hpf,0,32.77,0,0,0
2dpf,0.59,0,0.86,0,2.8
3dpf,6.81,0,0,0,0
5dpf,0,0,0.55,0.43,0
10dpf,5.41,0,1.49,0,0
