stage,central_nervous_system,hematopoietic_system,mesenchyme,periderm
2dpf,0,0,0,8.44
3dpf,0,0,0,2.03
5dpf,0.72,0,0.46,15.57
10dpf,1.06,0.83,2.28,64.47
