stage,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0.52,0,0,0
3dpf,0,0,0,1.38,0,0
5dpf,1.73,0.39,0,0,0.45,0.34
10dpf,0,0,0,0.52,0,0
