stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
3dpf,0,1.26,0,0.6,0
5dpf,1.43,123.95,3.86,4.85,3.05
10dpf,3.02,38.44,0,0,0
