stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,9.04,0.49,0,0.59
3dpf,18.09,1.18,0.65,0,0.55
5dpf,0,0.8,0.89,0,0
10dpf,12,0,3.47,1.32,0.46
