stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.68,0,2.51,0,0
3dpf,4.14,0,1.34,0.33,0
5dpf,0.62,0,0,0,1
10dpf,2.83,0.79,0,1.02,0.42
