stage,central_nervous_system,endoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,13.4
3dpf,2.6,1.1,0.94,0,0,20.5
5dpf,0,0,1.92,0.95,0.88,57.56
10dpf,0,0,0.45,0,0,9.57
