stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,54.43,0,0,0,0
12hpf,0,0,0,2.48,41.96,12.85,0,0,0
14hpf,2.36,0,0,2.48,50.94,125.28,0,0,0
16hpf,2.58,0,0,0,96.44,109.71,3.66,4.86,7.55
19hpf,0,0,0,0,106.73,19.65,11.14,0,0
24hpf,0,0,0,0,73.54,16.29,2.51,0,0
2dpf,12.66,0,0.62,0,157.06,392.45,15.41,0,4.42
3dpf,5.05,0,0.29,0.59,22.83,118.49,0,0,0.49
5dpf,1.34,0.58,0,0,18.67,104.69,5.35,0.33,0.96
10dpf,6.9,0,0.46,2.07,15.19,60.92,15.93,2.85,0
