stage,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,0,2.81,0,0,0
5dpf,0.36,3.07,1.01,1.35,1.63
10dpf,0.38,0,0,0,0
