stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,0.68,0,0,0,1.04
3dpf,3.86,0.37,0,0,0
5dpf,2.98,0,1.65,0.35,0
10dpf,7.64,0,0,0,0
