stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,6.35,0,0,0
3dpf,2.47,0.47,0,0
5dpf,8.69,0,0.68,0.38
10dpf,4.02,0,0,0
