stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,1.33,0,0.7,0,1.51
3dpf,0.66,0,0,0.89,27.38
5dpf,0,2.78,0.37,0.66,4.66
10dpf,3.78,0.98,0,0.68,29.01
