stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,5.08,0,0,0,0.72,0,0
3dpf,6.24,0,0,0,0,0,0.33
5dpf,5.81,0,0.94,0.62,2.61,0.98,0
10dpf,13.85,1.44,0,1.42,15.82,0.96,1.11
