stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,1203.6,0,0,0,0,0,0,0,0
12hpf,1036.2,0,0,0,4.89,0,0,2.86,123.75
14hpf,994.38,0,0,3.93,9,2.56,0,3.42,318.8
16hpf,1113.76,3.56,0,2.17,0,5.55,0,19.68,273.88
19hpf,1267.69,0,0,2.43,0,1.6,0,0,228.23
24hpf,815.06,0,1.77,5,16.14,4.41,0,24.7,250.73
2dpf,178.56,0,3.46,4.42,8.66,22,0,13.31,273.81
3dpf,554.96,4.82,1.18,0,0,24.41,0,0.4,131.95
5dpf,85.84,2.95,2.99,2.13,1.7,38.16,2.29,0.45,493.08
10dpf,122.01,7.78,0.5,1.9,0,13.8,0.85,0,142.75
