stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm
2dpf,0,0,0,1.08
3dpf,1.4,0,0,0
5dpf,0,0,0.4,0
10dpf,0,5.91,0,0
