stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme
2dpf,0,0,7.73,0.84
3dpf,0,0,1.05,0
5dpf,0,0.66,12.34,0.49
10dpf,1.62,0,10.69,0
