stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,9.43,0,0,75.43,0,0,0,50.67
12hpf,0,14.9,0,0,19.52,0,0,0,33.93
14hpf,0,0,0,0,3.8,0,0,0,21.79
16hpf,1.99,5.64,0,0,10.2,1.84,0,0,1.99
19hpf,0,0,0,0,4.78,0,0,0,2.43
24hpf,0.95,0.9,2.76,0,6.71,0,0,0,0
2dpf,13.19,0,14.31,4.67,5.06,4.31,2.39,3.75,2.09
3dpf,378.85,0,13.93,13.72,2.18,17.61,1.01,0,0
5dpf,19.16,1.35,103.94,41.98,0.4,43.16,3.91,8.36,4.87
10dpf,480.79,1.08,126.76,27.48,2.1,27.57,1.86,1.24,4.88
