stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0,1.06,0.55,0
3dpf,3.09,0,0,0,0,0
5dpf,0,0,0.74,0.61,0,0.41
10dpf,7.85,0.47,0,0.41,0,0
