stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,9.8,0,0,0,0,0,0,0,8.82
12hpf,0,2.14,0,0,0,0,0,0,1.81
14hpf,0,0,2.35,0,0,0,0,0,70.97
16hpf,0,1.88,0,0,0,0,0,0,7.02
19hpf,0,0,0,0,0,0,0,0,27.58
24hpf,0,0,0,0,0,0,0,0,13.06
2dpf,25.12,0.63,0.63,0.62,1.33,5.37,11.77,0,211.74
3dpf,20.46,4.62,0,0.94,0,3.83,0,0,105.66
5dpf,35.42,8.6,0.45,4.3,1.81,14.85,0.92,2.12,305.93
10dpf,17.2,7.6,0.39,4.4,0.43,4.33,0.77,0,100.5
