stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,3.94,0,0,2.62,0,1.2
3dpf,23.24,0,0,0,0,0.29
5dpf,2.78,0.82,1.83,0,0.79,30.48
10dpf,77.46,1.49,0,0,0,0.52
