stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0,0.57,0,0.85,0
5dpf,0,8.83,0,0,0.75
10dpf,1.08,23.62,1.2,0,0
