stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,1,0,0,0,0
3dpf,4.18,0,0.56,0,0
5dpf,0.33,0.38,0,0,0.77
10dpf,1.3,0,0,0.44,0
