stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,1.93,0.92,0,0,0,0
3dpf,0.48,0,0,0,0,0
5dpf,0,0.96,0,0,0.45,0.29
10dpf,1.7,0,0.72,1.91,0,0.52
