stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,11.18,0,0,1.47,5.32,2.47,1.33,21.52
3dpf,0.35,0,0.57,0,0,0,0,1.52
5dpf,0,2.26,0.36,0,0,0,0,16.06
10dpf,0.98,3.92,0,0,0.56,0,0,6.73
