stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0.97,0,0.71,0
3dpf,8.02,0.41,0,0.84,0.69
5dpf,0.32,1.45,0.31,4.15,0.92
10dpf,10.73,0.65,0.47,0.87,0
