stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,1.07,0,0,0,0,0,0
3dpf,1.87,0,0,0.45,1.78,0,0.29
5dpf,0,0.32,0,0,1.11,0.31,0.35
10dpf,0,0.91,0.48,0,0,0,0
