stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,14.06
12hpf,0,0,0,0,0,0,0,0,7.86
14hpf,0,0,0,0,0,6.96,0,0,5.35
16hpf,0,0,3.14,0,0,23.17,0,0,3.48
19hpf,5.28,0,2.06,0,0,12.89,0,0,1.87
24hpf,2.12,0,1.77,0,0,23.73,0,0,0.92
2dpf,10.93,0,7.56,1.81,1.93,13.94,0,1.19,41.04
3dpf,9.16,1.07,4.39,0.99,1.69,24.21,0,0.37,29.48
5dpf,5.16,0,14.64,1.32,1.44,13.51,2.15,0,60.62
10dpf,2.53,0,14.54,0.59,0,6.69,7.47,0,15.17
