stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm
2dpf,1.36,0,0,0
3dpf,0.37,0.47,0.3,0
5dpf,0.8,0,5.47,0.41
10dpf,0,0,0.53,0
