stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,0,0.73
3dpf,0,0,0.45,0,0
5dpf,0,0,0.79,0.32,0.95
10dpf,0.49,0.91,0,0.41,1
