stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,1.58,1.62,0
3dpf,0,0.43,0,0,0.85
5dpf,0,0,0,0.8,1.44
10dpf,0.78,0,0,0.97,0.83
