stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,36.7,0,0,0,9.74,0,0,8.67,53.16
12hpf,4.47,0,0,0,0,0,0,0,0
14hpf,7.78,0,17.26,2.42,0,0,0,0,0
16hpf,45.4,2.54,0,0,4.57,0,0,3.53,7.89
19hpf,166.54,0,0,0,5.27,0,0,4.39,18.83
24hpf,45.94,0,1.27,0.86,4.78,0,0.82,1.7,0.83
2dpf,229.98,0.56,5.28,6.7,111.18,21.75,4.27,6.79,12.63
3dpf,133.58,0.37,1.47,0,2.83,6.73,0.37,0.89,2.06
5dpf,8.06,0,5.87,0.77,9.17,5.44,0,1.76,3.67
10dpf,30.69,0.84,1.67,0,3.06,2.98,0,0,0.6
