stage,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,1.99,0,0,0
3dpf,2.54,0,0,0.46
5dpf,1.17,0.3,0.49,0
10dpf,1.48,0,0,0
