stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
16hpf,0,0,3.09,0
3dpf,0.62,0.46,0,0
5dpf,0.38,0,0,0.38
10dpf,0,0.51,0,0.53
