stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,0.9,0,0,0,0,1.23,0,0.79,0.86
3dpf,6.87,0.64,0.59,0,0.66,1.85,0.48,0,0
5dpf,0,0,0,0,0,0.47,0.66,0,0
10dpf,1.82,0.56,0,0.47,0,1.21,0,0,0
