stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,6.43
3dpf,0.29,0.55,0.73,0.65
5dpf,0,0.56,0,5.45
10dpf,1.36,0,0,0
