stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,1.55,0,0.56,0,0
3dpf,0,3.08,0,0.67,0
5dpf,0,4.03,1.06,0,0.71
10dpf,1.17,97.3,0.89,1.32,0
