stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.72,0,0.84,0.67,0,0.57
3dpf,1.67,0,3.03,0,0,0.63
5dpf,0,0.54,2.98,0,0,7.67
10dpf,1.66,1.48,2.39,0,0.77,10.55
