stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,2.03,0,2.94,8.44,1.95,0.86
3dpf,2.81,0,0,0.72,0,0
5dpf,0.29,0.29,0,0,0,0.46
10dpf,2.78,0,0,0,0,0
