stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,2.21,0,0,0,0
3dpf,0.35,0.72,0,0,0
5dpf,2.06,0,1.04,0,0
10dpf,1.12,0,0,0.93,0.38
