stage,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.51,0,4.06,0
3dpf,0.34,0,0,0.33,0
5dpf,0,0,0,3.35,0
10dpf,0,0,1.36,0.41,0.78
