stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
3dpf,1.48,0.4,0,0,3.23
5dpf,0,0.64,1.19,0.93,2.43
10dpf,2.71,0,0,0,0.87
