stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,2.13,0.84,0,0,0,12.26
3dpf,2.92,0,0,0,0,0.61
5dpf,2.96,0.55,2.68,3.73,2.58,4.88
10dpf,7.23,0,0,0,5.01,1.88
