stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
24hpf,0,0.83,0.87,0
2dpf,0,2.45,10.15,0.49
3dpf,0,2.5,2.74,0
5dpf,0.84,15.41,3,0
10dpf,0,1.38,0,0
