stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,22.72,0,0,0,0,0,0,0,0
12hpf,7.3,0,0,0,0,0,0,0,0
14hpf,30.41,0,0,33.06,0,0,0,0,0
16hpf,13.82,0,0,62.24,0,0,0,0,0
19hpf,60.65,0,0,46.47,0,0,0,0,0
24hpf,28.36,0,0,1.09,0,0.94,0,1.3,0.93
2dpf,153.69,0,1.9,14.87,0.67,13.49,4.48,0.68,13.24
3dpf,320.69,3.78,0,8.46,0.3,6.35,0.75,0.9,5.1
5dpf,40.14,4.39,1.29,9.11,0,6.62,1.34,0.98,5.27
10dpf,161.61,27.03,2.01,21.11,0,1.8,0,0,2.26
