stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,2.03,0,0,0,0.49,0,0
3dpf,4.58,0,0,0,3.15,0,0
5dpf,2.06,0,0,0,6.74,1.58,2.55
10dpf,4.52,0.47,0.38,2.2,11.27,1.63,0
