stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,2.84,0,0,0,0
3dpf,0.3,0,0,0,0
5dpf,0,0.85,0,0.72,0.34
10dpf,0,0,0.43,0,0
