stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,8.63
12hpf,0,21.94,0,0,2.34,0,0,0,0
14hpf,2.94,0,0,0,0,0,0,0,157.99
16hpf,0,57.34,0,3.52,1.69,0,2.19,2.7,279.49
19hpf,3.31,2.89,0,1.83,11.11,0,0,0,1857.43
24hpf,7.77,18.8,26.86,15.35,6.95,1.92,5.07,12.98,679
2dpf,89.08,6.75,161.14,37.38,23.58,34.19,90.99,10.25,887.42
3dpf,42.62,45.11,34.38,14.56,2.72,19.85,0.92,0.91,190.68
5dpf,19.58,59.38,153.51,41.54,7.7,71.87,17.71,13.33,1117.25
10dpf,78.97,194.85,204.32,68.01,12.99,80.53,34.27,7.11,451.52
