stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
14hpf,0,2.79,0,0,0
3dpf,1.54,0,0,0,0
5dpf,0,0,1.38,0.43,0.38
10dpf,2.46,0,0,2.66,0
