stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,6.19,2.84,5.03,14.97,0,0,1.72
5dpf,1.01,0.44,0.29,8.54,4.79,1.54,0.79
10dpf,1.67,0,0,0,0,0,0
