stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,2.27,0,0,0.6
3dpf,7.34,0,0,0.83
5dpf,0.54,0.9,0.78,2.93
10dpf,9.72,2.1,0,0
