stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1048.18,66.02,10.64,0,60.28,0,0,256.35,347.7,87.59
12hpf,590.21,50.54,0,0,121.85,21.63,2.16,845.94,710.93,55.6
14hpf,753.13,17.51,8.77,0,45.7,17.52,0,277.2,549.7,81.05
16hpf,884.5,13.78,3.59,0,51.6,14.51,0,263.27,689.64,116.18
19hpf,1403.36,0,0,1.67,19.4,12.67,2.17,74.91,316.84,166.36
24hpf,991.6,3.84,4.18,14.88,80.95,40.16,2.02,48.91,732.92,132.08
2dpf,784.61,12.5,25.44,23.76,299.96,586.26,49.25,31.4,458.56,428.03
3dpf,2304.38,6.34,3.24,4.62,23.81,670.86,28.57,0,74.59,94.2
5dpf,512.48,9.19,20.03,28.28,55.39,938.03,52.98,16.61,233.58,413.21
10dpf,1493.19,13.17,7.68,7.59,25.1,494.08,29.17,3.11,91.12,59.63
