stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
3dpf,5.01,0,0,0,0.33,0
5dpf,6.63,0,0,1.09,3.26,0.5
10dpf,40.55,3,0.45,0,0,0
