stage,endoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,0,1.46,10.13,0,1.38
5dpf,0,1.11,1.12,0.35,3.08
10dpf,19.6,4.62,2.55,0,13.62
