stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
2dpf,0.63,0,0,3.54,0,0,0,0
3dpf,2.42,0,0,1.05,0,0,0,0
5dpf,0.91,2.13,1,5.6,0.72,0.34,1.29,1.13
10dpf,3.21,0,1.02,1.75,0,0,0.57,0
