stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.39,0,0,0,0,0,0,0,0,20.85
12hpf,16.5,1.99,0,1.82,0,6.21,0,8.19,1.9,16.46
14hpf,15.98,0,0,2.48,11.03,7.34,2.51,3.46,7.75,38.52
16hpf,43.35,12.18,2.95,16.88,17.71,21.05,1.68,1.79,46.12,58.6
19hpf,59.53,0,0,2.13,4.24,0,1.5,1.96,1.58,35.31
24hpf,227.18,0.94,7.09,23.56,51.57,35.96,10.32,4.26,40.27,136.16
2dpf,830.37,9.68,68.73,146.56,330.1,611.16,91.41,15.06,152.62,486.14
3dpf,1927.14,32.92,13.03,75.29,55.69,547.92,18.02,0,32.65,125.34
5dpf,461.19,62.17,165.79,403.75,78.81,874.07,122.03,23.57,145.13,703.82
10dpf,1860.95,92.72,192.35,367.09,92.39,927.8,75.13,1.3,82.11,379.99
