stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,9.86,2.55,0,0,0,0
3dpf,0.76,0,0,0,0.4,2.16
5dpf,1.36,0.63,0.96,4.14,1.63,7.52
10dpf,4.52,1.65,0,1.09,2.59,10.19
