stage,central_nervous_system,hematopoietic_system,paraxial_mesoderm,periderm
2dpf,0.76,0,0,0
3dpf,15.69,0,0,0.65
5dpf,1.66,0,0,0
10dpf,12.3,0.6,0.85,0
