stage,central_nervous_system,endoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,1.54,0,0,0,1.62
3dpf,4.47,0,2.12,0,0.44
5dpf,0,1.25,1.75,0.97,2.19
10dpf,2.23,3.53,0,0,0
